Feature,Shapiro_W_Diabetic,Shapiro_p_Diabetic,Normal_Diabetic,Shapiro_W_NonDiabetic,Shapiro_p_NonDiabetic,Normal_NonDiabetic
vitals_item_220210,0.99,0.9874,True,0.978,0.2965,True
labs_item_51244,0.88,0.0012,False,0.931,0.0014,False
labs_item_50868,0.915,0.0105,False,0.827,0.0,False
labs_item_51256,0.941,0.0608,True,0.965,0.0643,True
labs_item_50902,0.947,0.0918,True,0.969,0.1021,True
meds_Famotidine,0.521,0.0,False,0.636,0.0,False
meds_Atorvastatin,0.623,0.0,False,0.432,0.0,False
labs_item_51006,0.811,0.0,False,0.742,0.0,False
labs_item_50821,0.858,0.0003,False,0.888,0.0,False
labs_item_51274,0.773,0.0,False,0.813,0.0,False
meds_Levothyroxine_Sodium,0.586,0.0,False,0.328,0.0,False
labs_item_51237,0.779,0.0,False,0.802,0.0,False
meds_Calcium_Gluconate_sliding_scale_(Critical_Care-Ionized_calcium),0.637,0.0,False,0.58,0.0,False
meds_Heparin_Flush_(10_units/ml),0.635,0.0,False,0.597,0.0,False
dx_3051,0.418,0.0,False,0.591,0.0,False
vitals_item_220051,0.766,0.0,False,0.909,0.0002,False
labs_item_50983,0.975,0.585,True,0.973,0.1652,True
labs_item_51277,0.918,0.0121,False,0.896,0.0001,False
dx_V5861,0.372,0.0,False,0.524,0.0,False
labs_item_51301,0.686,0.0,False,0.992,0.9377,True
labs_item_50912,0.824,0.0001,False,0.532,0.0,False
labs_item_51248,0.961,0.2381,True,0.986,0.6872,True
dx_V1582,0.458,0.0,False,0.612,0.0,False
labs_item_50947,0.669,0.0,False,0.466,0.0,False
labs_item_50882,0.975,0.5851,True,0.917,0.0003,False
