feature,modality,auc,disc,p,neglog10p,cohens_d,nunique
labs_item_50802,labs,0.48725274725274725,0.5127472527472527,0.8358245547368178,0.07788487436245692,-0.06244840168474957,66
labs_item_50804,labs,0.478021978021978,0.521978021978022,0.718886634476126,0.14333959070648575,-0.12491791714423442,65
labs_item_50813,labs,0.5437362637362637,0.5437362637362637,0.47323600322736026,0.32492222218406075,0.07700387146795638,75
labs_item_50818,labs,0.4432967032967033,0.5567032967032968,0.3501269617640619,0.4557744448062332,-0.21779805200569485,72
labs_item_50820,labs,0.5197802197802197,0.5197802197802197,0.7464537452254123,0.1269970986097462,0.14367581369650487,72
labs_item_50821,labs,0.38483516483516483,0.6151648351648351,0.05725335090377436,1.2421990900111184,-0.3873443135302087,76
labs_item_50861,labs,0.476043956043956,0.523956043956044,0.695500212076207,0.15770273324416711,0.17606635701850987,71
labs_item_50862,labs,0.49758241758241756,0.5024175824175825,0.9710561884451564,0.012755639684512444,-0.07265365103834485,61
labs_item_50863,labs,0.5764835164835165,0.5764835164835165,0.20832296490677127,0.6812628520755779,0.18474407386294697,73
labs_item_50868,labs,0.6443956043956044,0.6443956043956044,0.017768018745791498,1.7503609962656657,0.32061937463433493,91
labs_item_50878,labs,0.43956043956043955,0.5604395604395604,0.32068169833964144,0.49392582503229704,0.024645561376226637,71
labs_item_50882,labs,0.41714285714285715,0.5828571428571429,0.17424597456892743,0.7588372461865995,-0.21615789744886046,89
labs_item_50885,labs,0.44131868131868124,0.5586813186813188,0.33441513793643163,0.47571407162339857,0.25933240325609375,57
labs_item_50893,labs,0.5553846153846154,0.5553846153846154,0.3644207106311387,0.43839694932464607,0.201725012241563,93
labs_item_50902,labs,0.3648351648351648,0.6351648351648351,0.02651126292186509,1.5765695832087077,-0.37267508188001236,95
labs_item_50912,labs,0.5938461538461538,0.5938461538461538,0.12372701680704523,0.9075354582601315,-0.013852916356108646,95
labs_item_50934,labs,0.4839560439560439,0.516043956043956,0.7579279412587947,0.12037208223242891,-0.30508413494534664,35
labs_item_50947,labs,0.416043956043956,0.5839560439560441,0.102888196032368,0.9876344473178574,-0.3479127447957572,29
labs_item_50954,labs,0.46615384615384614,0.5338461538461539,0.5666927291597232,0.24665235945320654,0.09595068438748756,59
labs_item_50960,labs,0.4239560439560439,0.5760439560439561,0.21252371515922375,0.672592600728386,-0.23818413471722874,88
labs_item_50970,labs,0.5720879120879121,0.5720879120879121,0.2373748012585517,0.6245653858667236,0.09468461941659038,97
labs_item_50971,labs,0.5551648351648351,0.5551648351648351,0.3663404822924218,0.4361150871646267,0.07155019004571228,95
labs_item_50983,labs,0.4017582417582417,0.5982417582417583,0.10704279770942668,0.970442548549649,-0.2931109142890373,90
